source_text,plagiarized_text,label
Venus is the hottest planet in the solar system. Variation 1.,The highest temperatures in the solar system are found on Venus. Alternative 1.,0
Neil Armstrong was the first person to walk on the Moon. Variation 1.,The first human to step onto the Moon was Neil Armstrong. Alternative 1.,0
Photosynthesis converts carbon dioxide and water into glucose and oxygen. Variation 1.,"Through photosynthesis, water and CO2 turn into glucose and oxygen. Alternative 1.",0
The Milky Way is the galaxy that contains our Solar System. Variation 1.,Our Solar System is within the Milky Way galaxy. Alternative 1.,0
The square root of 144 is 12. Variation 1.,Twelve is the square root of one hundred forty-four. Alternative 1.,0
Oxygen is essential for human survival. Variation 1.,Humans need oxygen to survive. Alternative 1.,0
DNA carries genetic information in living organisms. Variation 1.,The genetic code in organisms is stored in DNA. Alternative 1.,0
The speed of sound varies depending on the medium it travels through. Variation 1.,Sound's speed changes with the medium it moves through. Alternative 1.,0
The United Nations was founded in 1945 to promote international peace. Variation 1.,International peace efforts led to the founding of the UN in 1945. Alternative 1.,0
"Rainbows form due to the refraction, dispersion, and reflection of light in water droplets. Variation 1.",Light bends and splits in raindrops to create rainbows. Alternative 1.,0
The Great Wall of China was built to protect against invasions. Variation 2.,China's Great Wall was constructed to defend against invasions. Alternative 2.,1
Photosynthesis is the process by which green plants produce their own food using sunlight. Variation 2.,Green plants use sunlight to create their food through photosynthesis. Alternative 2.,1
"Shakespeare wrote many famous plays, including Hamlet and Othello. Variation 2.",Among Shakespeare's well-known works are Othello and Hamlet. Alternative 2.,1
Albert Einstein developed the theory of relativity. Variation 2.,The theory of relativity was formulated by Albert Einstein. Alternative 2.,1
The Pacific Ocean is the largest ocean on Earth. Variation 2.,Earth's biggest ocean is the Pacific. Alternative 2.,1
Electricity is essential for modern life. Variation 2.,"In today's world, electricity is a necessity. Alternative 2.",1
Mount Everest is the highest mountain in the world. Variation 2.,The tallest mountain on the planet is Mount Everest. Alternative 2.,1
Gravity is the force that pulls objects toward the center of the Earth. Variation 2.,Objects are pulled toward Earth's center due to gravity. Alternative 2.,1
Isaac Newton formulated the laws of motion and universal gravitation. Variation 2.,The principles of motion and gravity were established by Newton. Alternative 2.,1
Leonardo da Vinci painted the Mona Lisa. Variation 2.,The Mona Lisa was painted by Leonardo da Vinci. Alternative 2.,1
The Eiffel Tower is a famous landmark in Paris. Variation 2.,Paris is home to the well-known Eiffel Tower. Alternative 2.,1
"The speed of light in a vacuum is approximately 299,792 kilometers per second. Variation 2.","In a vacuum, light travels at roughly 299,792 km per second. Alternative 2.",1
The Amazon Rainforest is known for its vast biodiversity. Variation 2.,The Amazon is famous for its rich variety of species. Alternative 2.,1
Thomas Edison invented the phonograph. Variation 2.,The phonograph was invented by Thomas Edison. Alternative 2.,1
Bananas are rich in potassium and provide a quick source of energy. Variation 2.,A good source of potassium and energy is found in bananas. Alternative 2.,1
A day on Mars lasts approximately 24.6 hours. Variation 2.,Mars has a day length of about 24.6 hours. Alternative 2.,1
"The first manned moon landing was in 1969, conducted by NASA. Variation 2.",NASA's 1969 mission marked the first human landing on the moon. Alternative 2.,1
The Pyramids of Giza are one of the Seven Wonders of the Ancient World. Variation 2.,One of the ancient Seven Wonders includes the Giza Pyramids. Alternative 2.,1
A solar eclipse occurs when the Moon passes between the Earth and the Sun. Variation 2.,"When the Moon blocks the Sun from Earth, a solar eclipse happens. Alternative 2.",1
The Statue of Liberty was a gift from France to the United States. Variation 2.,France presented the U.S. with the Statue of Liberty as a gift. Alternative 2.,1
The Sahara Desert is the largest hot desert in the world. Variation 2.,The biggest hot desert on Earth is the Sahara. Alternative 2.,1
The human body has 206 bones. Variation 2.,There are 206 bones in the human skeletal system. Alternative 2.,1
William Shakespeare was an English playwright and poet. Variation 2.,"Shakespeare, the English poet and playwright, was renowned worldwide. Alternative 2.",1
The Wright brothers built and flew the first successful airplane. Variation 2.,The first powered flight was achieved by the Wright brothers. Alternative 2.,1
The capital of Japan is Tokyo. Variation 2.,Tokyo is the capital city of Japan. Alternative 2.,0
Water boils at 100 degrees Celsius under standard atmospheric pressure. Variation 2.,"At standard pressure, water reaches its boiling point at 100°C. Alternative 2.",0
The internet has revolutionized global communication. Variation 2.,The way people communicate globally has changed due to the internet. Alternative 2.,0
The human brain controls all bodily functions. Variation 2.,Bodily functions are regulated by the human brain. Alternative 2.,0
Gold is a highly valuable and conductive metal. Variation 2.,A highly conductive and valuable metal is gold. Alternative 2.,0
Renewable energy sources help reduce carbon emissions. Variation 2.,Using renewable sources lowers carbon footprints. Alternative 2.,0
Mathematics is the foundation of many scientific disciplines. Variation 2.,Many sciences are based on mathematics. Alternative 2.,0
Healthy eating and regular exercise contribute to overall well-being. Variation 2.,Maintaining health involves diet and exercise. Alternative 2.,0
Jupiter is the largest planet in our solar system. Variation 2.,The biggest planet in the solar system is Jupiter. Alternative 2.,0
"A balanced diet includes proteins, carbohydrates, and healthy fats. Variation 2.","Proteins, carbs, and fats make up a balanced diet. Alternative 2.",0
Venus is the hottest planet in the solar system. Variation 2.,The highest temperatures in the solar system are found on Venus. Alternative 2.,0
Neil Armstrong was the first person to walk on the Moon. Variation 2.,The first human to step onto the Moon was Neil Armstrong. Alternative 2.,0
Photosynthesis converts carbon dioxide and water into glucose and oxygen. Variation 2.,"Through photosynthesis, water and CO2 turn into glucose and oxygen. Alternative 2.",0
The Milky Way is the galaxy that contains our Solar System. Variation 2.,Our Solar System is within the Milky Way galaxy. Alternative 2.,0
The square root of 144 is 12. Variation 2.,Twelve is the square root of one hundred forty-four. Alternative 2.,0
Oxygen is essential for human survival. Variation 2.,Humans need oxygen to survive. Alternative 2.,0
DNA carries genetic information in living organisms. Variation 2.,The genetic code in organisms is stored in DNA. Alternative 2.,0
The speed of sound varies depending on the medium it travels through. Variation 2.,Sound's speed changes with the medium it moves through. Alternative 2.,0
The United Nations was founded in 1945 to promote international peace. Variation 2.,International peace efforts led to the founding of the UN in 1945. Alternative 2.,0
"Rainbows form due to the refraction, dispersion, and reflection of light in water droplets. Variation 2.",Light bends and splits in raindrops to create rainbows. Alternative 2.,0
The Great Wall of China was built to protect against invasions. Variation 3.,China's Great Wall was constructed to defend against invasions. Alternative 3.,1
Photosynthesis is the process by which green plants produce their own food using sunlight. Variation 3.,Green plants use sunlight to create their food through photosynthesis. Alternative 3.,1
"Shakespeare wrote many famous plays, including Hamlet and Othello. Variation 3.",Among Shakespeare's well-known works are Othello and Hamlet. Alternative 3.,1
Albert Einstein developed the theory of relativity. Variation 3.,The theory of relativity was formulated by Albert Einstein. Alternative 3.,1
The Pacific Ocean is the largest ocean on Earth. Variation 3.,Earth's biggest ocean is the Pacific. Alternative 3.,1
Electricity is essential for modern life. Variation 3.,"In today's world, electricity is a necessity. Alternative 3.",1
Mount Everest is the highest mountain in the world. Variation 3.,The tallest mountain on the planet is Mount Everest. Alternative 3.,1
Gravity is the force that pulls objects toward the center of the Earth. Variation 3.,Objects are pulled toward Earth's center due to gravity. Alternative 3.,1
Isaac Newton formulated the laws of motion and universal gravitation. Variation 3.,The principles of motion and gravity were established by Newton. Alternative 3.,1
Leonardo da Vinci painted the Mona Lisa. Variation 3.,The Mona Lisa was painted by Leonardo da Vinci. Alternative 3.,1
The Eiffel Tower is a famous landmark in Paris. Variation 3.,Paris is home to the well-known Eiffel Tower. Alternative 3.,1
"The speed of light in a vacuum is approximately 299,792 kilometers per second. Variation 3.","In a vacuum, light travels at roughly 299,792 km per second. Alternative 3.",1
The Amazon Rainforest is known for its vast biodiversity. Variation 3.,The Amazon is famous for its rich variety of species. Alternative 3.,1
Thomas Edison invented the phonograph. Variation 3.,The phonograph was invented by Thomas Edison. Alternative 3.,1
Bananas are rich in potassium and provide a quick source of energy. Variation 3.,A good source of potassium and energy is found in bananas. Alternative 3.,1
A day on Mars lasts approximately 24.6 hours. Variation 3.,Mars has a day length of about 24.6 hours. Alternative 3.,1
"The first manned moon landing was in 1969, conducted by NASA. Variation 3.",NASA's 1969 mission marked the first human landing on the moon. Alternative 3.,1
The Pyramids of Giza are one of the Seven Wonders of the Ancient World. Variation 3.,One of the ancient Seven Wonders includes the Giza Pyramids. Alternative 3.,1
A solar eclipse occurs when the Moon passes between the Earth and the Sun. Variation 3.,"When the Moon blocks the Sun from Earth, a solar eclipse happens. Alternative 3.",1
The Statue of Liberty was a gift from France to the United States. Variation 3.,France presented the U.S. with the Statue of Liberty as a gift. Alternative 3.,1
The Sahara Desert is the largest hot desert in the world. Variation 3.,The biggest hot desert on Earth is the Sahara. Alternative 3.,1
The human body has 206 bones. Variation 3.,There are 206 bones in the human skeletal system. Alternative 3.,1
William Shakespeare was an English playwright and poet. Variation 3.,"Shakespeare, the English poet and playwright, was renowned worldwide. Alternative 3.",1
The Wright brothers built and flew the first successful airplane. Variation 3.,The first powered flight was achieved by the Wright brothers. Alternative 3.,1
The capital of Japan is Tokyo. Variation 3.,Tokyo is the capital city of Japan. Alternative 3.,0
Water boils at 100 degrees Celsius under standard atmospheric pressure. Variation 3.,"At standard pressure, water reaches its boiling point at 100°C. Alternative 3.",0
The internet has revolutionized global communication. Variation 3.,The way people communicate globally has changed due to the internet. Alternative 3.,0
The human brain controls all bodily functions. Variation 3.,Bodily functions are regulated by the human brain. Alternative 3.,0
Gold is a highly valuable and conductive metal. Variation 3.,A highly conductive and valuable metal is gold. Alternative 3.,0
Renewable energy sources help reduce carbon emissions. Variation 3.,Using renewable sources lowers carbon footprints. Alternative 3.,0
Mathematics is the foundation of many scientific disciplines. Variation 3.,Many sciences are based on mathematics. Alternative 3.,0
Healthy eating and regular exercise contribute to overall well-being. Variation 3.,Maintaining health involves diet and exercise. Alternative 3.,0
Jupiter is the largest planet in our solar system. Variation 3.,The biggest planet in the solar system is Jupiter. Alternative 3.,0
"A balanced diet includes proteins, carbohydrates, and healthy fats. Variation 3.","Proteins, carbs, and fats make up a balanced diet. Alternative 3.",0
Venus is the hottest planet in the solar system. Variation 3.,The highest temperatures in the solar system are found on Venus. Alternative 3.,0
Neil Armstrong was the first person to walk on the Moon. Variation 3.,The first human to step onto the Moon was Neil Armstrong. Alternative 3.,0
Photosynthesis converts carbon dioxide and water into glucose and oxygen. Variation 3.,"Through photosynthesis, water and CO2 turn into glucose and oxygen. Alternative 3.",0
The Milky Way is the galaxy that contains our Solar System. Variation 3.,Our Solar System is within the Milky Way galaxy. Alternative 3.,0
The square root of 144 is 12. Variation 3.,Twelve is the square root of one hundred forty-four. Alternative 3.,0
Oxygen is essential for human survival. Variation 3.,Humans need oxygen to survive. Alternative 3.,0
DNA carries genetic information in living organisms. Variation 3.,The genetic code in organisms is stored in DNA. Alternative 3.,0
The speed of sound varies depending on the medium it travels through. Variation 3.,Sound's speed changes with the medium it moves through. Alternative 3.,0
The United Nations was founded in 1945 to promote international peace. Variation 3.,International peace efforts led to the founding of the UN in 1945. Alternative 3.,0
"Rainbows form due to the refraction, dispersion, and reflection of light in water droplets. Variation 3.",Light bends and splits in raindrops to create rainbows. Alternative 3.,0
The Great Wall of China was built to protect against invasions. Variation 4.,China's Great Wall was constructed to defend against invasions. Alternative 4.,1
Photosynthesis is the process by which green plants produce their own food using sunlight. Variation 4.,Green plants use sunlight to create their food through photosynthesis. Alternative 4.,1
"Shakespeare wrote many famous plays, including Hamlet and Othello. Variation 4.",Among Shakespeare's well-known works are Othello and Hamlet. Alternative 4.,1
Albert Einstein developed the theory of relativity. Variation 4.,The theory of relativity was formulated by Albert Einstein. Alternative 4.,1
The Pacific Ocean is the largest ocean on Earth. Variation 4.,Earth's biggest ocean is the Pacific. Alternative 4.,1
Electricity is essential for modern life. Variation 4.,"In today's world, electricity is a necessity. Alternative 4.",1
Mount Everest is the highest mountain in the world. Variation 4.,The tallest mountain on the planet is Mount Everest. Alternative 4.,1
Gravity is the force that pulls objects toward the center of the Earth. Variation 4.,Objects are pulled toward Earth's center due to gravity. Alternative 4.,1
Isaac Newton formulated the laws of motion and universal gravitation. Variation 4.,The principles of motion and gravity were established by Newton. Alternative 4.,1
Leonardo da Vinci painted the Mona Lisa. Variation 4.,The Mona Lisa was painted by Leonardo da Vinci. Alternative 4.,1
The Eiffel Tower is a famous landmark in Paris. Variation 4.,Paris is home to the well-known Eiffel Tower. Alternative 4.,1
"The speed of light in a vacuum is approximately 299,792 kilometers per second. Variation 4.","In a vacuum, light travels at roughly 299,792 km per second. Alternative 4.",1
The Amazon Rainforest is known for its vast biodiversity. Variation 4.,The Amazon is famous for its rich variety of species. Alternative 4.,1
Thomas Edison invented the phonograph. Variation 4.,The phonograph was invented by Thomas Edison. Alternative 4.,1
Bananas are rich in potassium and provide a quick source of energy. Variation 4.,A good source of potassium and energy is found in bananas. Alternative 4.,1
A day on Mars lasts approximately 24.6 hours. Variation 4.,Mars has a day length of about 24.6 hours. Alternative 4.,1
"The first manned moon landing was in 1969, conducted by NASA. Variation 4.",NASA's 1969 mission marked the first human landing on the moon. Alternative 4.,1
The Pyramids of Giza are one of the Seven Wonders of the Ancient World. Variation 4.,One of the ancient Seven Wonders includes the Giza Pyramids. Alternative 4.,1
A solar eclipse occurs when the Moon passes between the Earth and the Sun. Variation 4.,"When the Moon blocks the Sun from Earth, a solar eclipse happens. Alternative 4.",1
The Statue of Liberty was a gift from France to the United States. Variation 4.,France presented the U.S. with the Statue of Liberty as a gift. Alternative 4.,1
The Sahara Desert is the largest hot desert in the world. Variation 4.,The biggest hot desert on Earth is the Sahara. Alternative 4.,1
The human body has 206 bones. Variation 4.,There are 206 bones in the human skeletal system. Alternative 4.,1
William Shakespeare was an English playwright and poet. Variation 4.,"Shakespeare, the English poet and playwright, was renowned worldwide. Alternative 4.",1
The Wright brothers built and flew the first successful airplane. Variation 4.,The first powered flight was achieved by the Wright brothers. Alternative 4.,1
The capital of Japan is Tokyo. Variation 4.,Tokyo is the capital city of Japan. Alternative 4.,0
Water boils at 100 degrees Celsius under standard atmospheric pressure. Variation 4.,"At standard pressure, water reaches its boiling point at 100°C. Alternative 4.",0
The internet has revolutionized global communication. Variation 4.,The way people communicate globally has changed due to the internet. Alternative 4.,0
The human brain controls all bodily functions. Variation 4.,Bodily functions are regulated by the human brain. Alternative 4.,0
Gold is a highly valuable and conductive metal. Variation 4.,A highly conductive and valuable metal is gold. Alternative 4.,0
Renewable energy sources help reduce carbon emissions. Variation 4.,Using renewable sources lowers carbon footprints. Alternative 4.,0
Mathematics is the foundation of many scientific disciplines. Variation 4.,Many sciences are based on mathematics. Alternative 4.,0
Healthy eating and regular exercise contribute to overall well-being. Variation 4.,Maintaining health involves diet and exercise. Alternative 4.,0
Jupiter is the largest planet in our solar system. Variation 4.,The biggest planet in the solar system is Jupiter. Alternative 4.,0
"A balanced diet includes proteins, carbohydrates, and healthy fats. Variation 4.","Proteins, carbs, and fats make up a balanced diet. Alternative 4.",0
Venus is the hottest planet in the solar system. Variation 4.,The highest temperatures in the solar system are found on Venus. Alternative 4.,0
Neil Armstrong was the first person to walk on the Moon. Variation 4.,The first human to step onto the Moon was Neil Armstrong. Alternative 4.,0
Photosynthesis converts carbon dioxide and water into glucose and oxygen. Variation 4.,"Through photosynthesis, water and CO2 turn into glucose and oxygen. Alternative 4.",0
The Milky Way is the galaxy that contains our Solar System. Variation 4.,Our Solar System is within the Milky Way galaxy. Alternative 4.,0
The square root of 144 is 12. Variation 4.,Twelve is the square root of one hundred forty-four. Alternative 4.,0
Oxygen is essential for human survival. Variation 4.,Humans need oxygen to survive. Alternative 4.,0
DNA carries genetic information in living organisms. Variation 4.,The genetic code in organisms is stored in DNA. Alternative 4.,0
The speed of sound varies depending on the medium it travels through. Variation 4.,Sound's speed changes with the medium it moves through. Alternative 4.,0
The United Nations was founded in 1945 to promote international peace. Variation 4.,International peace efforts led to the founding of the UN in 1945. Alternative 4.,0
"Rainbows form due to the refraction, dispersion, and reflection of light in water droplets. Variation 4.",Light bends and splits in raindrops to create rainbows. Alternative 4.,0
The Great Wall of China was built to protect against invasions. Variation 5.,China's Great Wall was constructed to defend against invasions. Alternative 5.,1
Photosynthesis is the process by which green plants produce their own food using sunlight. Variation 5.,Green plants use sunlight to create their food through photosynthesis. Alternative 5.,1
"Shakespeare wrote many famous plays, including Hamlet and Othello. Variation 5.",Among Shakespeare's well-known works are Othello and Hamlet. Alternative 5.,1
Albert Einstein developed the theory of relativity. Variation 5.,The theory of relativity was formulated by Albert Einstein. Alternative 5.,1
The Pacific Ocean is the largest ocean on Earth. Variation 5.,Earth's biggest ocean is the Pacific. Alternative 5.,1
Electricity is essential for modern life. Variation 5.,"In today's world, electricity is a necessity. Alternative 5.",1
Mount Everest is the highest mountain in the world. Variation 5.,The tallest mountain on the planet is Mount Everest. Alternative 5.,1
Gravity is the force that pulls objects toward the center of the Earth. Variation 5.,Objects are pulled toward Earth's center due to gravity. Alternative 5.,1
Isaac Newton formulated the laws of motion and universal gravitation. Variation 5.,The principles of motion and gravity were established by Newton. Alternative 5.,1
Leonardo da Vinci painted the Mona Lisa. Variation 5.,The Mona Lisa was painted by Leonardo da Vinci. Alternative 5.,1
The Eiffel Tower is a famous landmark in Paris. Variation 5.,Paris is home to the well-known Eiffel Tower. Alternative 5.,1
"The speed of light in a vacuum is approximately 299,792 kilometers per second. Variation 5.","In a vacuum, light travels at roughly 299,792 km per second. Alternative 5.",1
The Amazon Rainforest is known for its vast biodiversity. Variation 5.,The Amazon is famous for its rich variety of species. Alternative 5.,1
Thomas Edison invented the phonograph. Variation 5.,The phonograph was invented by Thomas Edison. Alternative 5.,1
Bananas are rich in potassium and provide a quick source of energy. Variation 5.,A good source of potassium and energy is found in bananas. Alternative 5.,1
A day on Mars lasts approximately 24.6 hours. Variation 5.,Mars has a day length of about 24.6 hours. Alternative 5.,1
"The first manned moon landing was in 1969, conducted by NASA. Variation 5.",NASA's 1969 mission marked the first human landing on the moon. Alternative 5.,1
The Pyramids of Giza are one of the Seven Wonders of the Ancient World. Variation 5.,One of the ancient Seven Wonders includes the Giza Pyramids. Alternative 5.,1
A solar eclipse occurs when the Moon passes between the Earth and the Sun. Variation 5.,"When the Moon blocks the Sun from Earth, a solar eclipse happens. Alternative 5.",1
The Statue of Liberty was a gift from France to the United States. Variation 5.,France presented the U.S. with the Statue of Liberty as a gift. Alternative 5.,1
The Sahara Desert is the largest hot desert in the world. Variation 5.,The biggest hot desert on Earth is the Sahara. Alternative 5.,1
The human body has 206 bones. Variation 5.,There are 206 bones in the human skeletal system. Alternative 5.,1
William Shakespeare was an English playwright and poet. Variation 5.,"Shakespeare, the English poet and playwright, was renowned worldwide. Alternative 5.",1
The Wright brothers built and flew the first successful airplane. Variation 5.,The first powered flight was achieved by the Wright brothers. Alternative 5.,1
The capital of Japan is Tokyo. Variation 5.,Tokyo is the capital city of Japan. Alternative 5.,0
Water boils at 100 degrees Celsius under standard atmospheric pressure. Variation 5.,"At standard pressure, water reaches its boiling point at 100°C. Alternative 5.",0
The internet has revolutionized global communication. Variation 5.,The way people communicate globally has changed due to the internet. Alternative 5.,0
The human brain controls all bodily functions. Variation 5.,Bodily functions are regulated by the human brain. Alternative 5.,0
Gold is a highly valuable and conductive metal. Variation 5.,A highly conductive and valuable metal is gold. Alternative 5.,0
Renewable energy sources help reduce carbon emissions. Variation 5.,Using renewable sources lowers carbon footprints. Alternative 5.,0
Mathematics is the foundation of many scientific disciplines. Variation 5.,Many sciences are based on mathematics. Alternative 5.,0
Healthy eating and regular exercise contribute to overall well-being. Variation 5.,Maintaining health involves diet and exercise. Alternative 5.,0
Jupiter is the largest planet in our solar system. Variation 5.,The biggest planet in the solar system is Jupiter. Alternative 5.,0
"A balanced diet includes proteins, carbohydrates, and healthy fats. Variation 5.","Proteins, carbs, and fats make up a balanced diet. Alternative 5.",0
Venus is the hottest planet in the solar system. Variation 5.,The highest temperatures in the solar system are found on Venus. Alternative 5.,0
Neil Armstrong was the first person to walk on the Moon. Variation 5.,The first human to step onto the Moon was Neil Armstrong. Alternative 5.,0
Photosynthesis converts carbon dioxide and water into glucose and oxygen. Variation 5.,"Through photosynthesis, water and CO2 turn into glucose and oxygen. Alternative 5.",0
The Milky Way is the galaxy that contains our Solar System. Variation 5.,Our Solar System is within the Milky Way galaxy. Alternative 5.,0
The square root of 144 is 12. Variation 5.,Twelve is the square root of one hundred forty-four. Alternative 5.,0
Oxygen is essential for human survival. Variation 5.,Humans need oxygen to survive. Alternative 5.,0
DNA carries genetic information in living organisms. Variation 5.,The genetic code in organisms is stored in DNA. Alternative 5.,0
The speed of sound varies depending on the medium it travels through. Variation 5.,Sound's speed changes with the medium it moves through. Alternative 5.,0
The United Nations was founded in 1945 to promote international peace. Variation 5.,International peace efforts led to the founding of the UN in 1945. Alternative 5.,0
"Rainbows form due to the refraction, dispersion, and reflection of light in water droplets. Variation 5.",Light bends and splits in raindrops to create rainbows. Alternative 5.,0
The Great Wall of China was built to protect against invasions. Variation 6.,China's Great Wall was constructed to defend against invasions. Alternative 6.,1
Photosynthesis is the process by which green plants produce their own food using sunlight. Variation 6.,Green plants use sunlight to create their food through photosynthesis. Alternative 6.,1
"Shakespeare wrote many famous plays, including Hamlet and Othello. Variation 6.",Among Shakespeare's well-known works are Othello and Hamlet. Alternative 6.,1
Albert Einstein developed the theory of relativity. Variation 6.,The theory of relativity was formulated by Albert Einstein. Alternative 6.,1
The Pacific Ocean is the largest ocean on Earth. Variation 6.,Earth's biggest ocean is the Pacific. Alternative 6.,1
Electricity is essential for modern life. Variation 6.,"In today's world, electricity is a necessity. Alternative 6.",1
Mount Everest is the highest mountain in the world. Variation 6.,The tallest mountain on the planet is Mount Everest. Alternative 6.,1
Gravity is the force that pulls objects toward the center of the Earth. Variation 6.,Objects are pulled toward Earth's center due to gravity. Alternative 6.,1
Isaac Newton formulated the laws of motion and universal gravitation. Variation 6.,The principles of motion and gravity were established by Newton. Alternative 6.,1
Leonardo da Vinci painted the Mona Lisa. Variation 6.,The Mona Lisa was painted by Leonardo da Vinci. Alternative 6.,1
The Eiffel Tower is a famous landmark in Paris. Variation 6.,Paris is home to the well-known Eiffel Tower. Alternative 6.,1
"The speed of light in a vacuum is approximately 299,792 kilometers per second. Variation 6.","In a vacuum, light travels at roughly 299,792 km per second. Alternative 6.",1
The Amazon Rainforest is known for its vast biodiversity. Variation 6.,The Amazon is famous for its rich variety of species. Alternative 6.,1
Thomas Edison invented the phonograph. Variation 6.,The phonograph was invented by Thomas Edison. Alternative 6.,1
Bananas are rich in potassium and provide a quick source of energy. Variation 6.,A good source of potassium and energy is found in bananas. Alternative 6.,1
A day on Mars lasts approximately 24.6 hours. Variation 6.,Mars has a day length of about 24.6 hours. Alternative 6.,1
"The first manned moon landing was in 1969, conducted by NASA. Variation 6.",NASA's 1969 mission marked the first human landing on the moon. Alternative 6.,1
The Pyramids of Giza are one of the Seven Wonders of the Ancient World. Variation 6.,One of the ancient Seven Wonders includes the Giza Pyramids. Alternative 6.,1
A solar eclipse occurs when the Moon passes between the Earth and the Sun. Variation 6.,"When the Moon blocks the Sun from Earth, a solar eclipse happens. Alternative 6.",1
The Statue of Liberty was a gift from France to the United States. Variation 6.,France presented the U.S. with the Statue of Liberty as a gift. Alternative 6.,1
The Sahara Desert is the largest hot desert in the world. Variation 6.,The biggest hot desert on Earth is the Sahara. Alternative 6.,1
The human body has 206 bones. Variation 6.,There are 206 bones in the human skeletal system. Alternative 6.,1
William Shakespeare was an English playwright and poet. Variation 6.,"Shakespeare, the English poet and playwright, was renowned worldwide. Alternative 6.",1
The Wright brothers built and flew the first successful airplane. Variation 6.,The first powered flight was achieved by the Wright brothers. Alternative 6.,1
The capital of Japan is Tokyo. Variation 6.,Tokyo is the capital city of Japan. Alternative 6.,0
Water boils at 100 degrees Celsius under standard atmospheric pressure. Variation 6.,"At standard pressure, water reaches its boiling point at 100°C. Alternative 6.",0
The internet has revolutionized global communication. Variation 6.,The way people communicate globally has changed due to the internet. Alternative 6.,0
